"Service","WorkSpaces($)","Tax($)","Directory Service($)","EC2-Instances($)","Elastic Load Balancing($)","EC2-Other($)","Registrar($)","VPC($)","Service Catalog($)","Systems Manager($)","Route 53($)","Cost Explorer($)","Key Management Service($)","S3($)","Secrets Manager($)","Glue($)","SQS($)","Bedrock($)","SNS($)","Location Service($)","Glacier($)","Step Functions($)","CloudWatch($)","Simple Workflow Service($)","CloudShell($)","CloudFormation($)","Certificate Manager($)","Total costs($)"
"Service total","371.0263884689","115.83","89.9074341702","85.8856940481","37.7674731856","24.6676770007","15","14.2383025981","3.0312975","0.881595","0.5993592","0.5445","0.141518025","0.0918221131","0.03521925","0.019510425","0.01184535","0.0012539307","0.0011166406","0.0001815","0.0001441721","0.0000107954","0.00000825","0.0000077188","7.71e-8","0","0","759.6823594194"
"2025-09-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2025-10-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2025-11-01","","0","","","","","","","","","","","0.00000495","0.0003515592","0.00000825","0.00000825","0.00000066","","0.000000825","0.000033","","","","","","0","","0.0004074942"
"2025-12-01","","5.73","","0.7556662964","9.7888181589","3.106684038","15","2.1109240637","0.49434","0","0.09689394","0.07425","0.017931375","0.0136281288","0.00474375","0.005982075","0.00157113","0.0012539307","0.0000853875","0.000099","0.000016397","0.0000014084","","0.0000010599","","0","0","37.2028901393"
"2026-01-01","61.6018884689","22","12.2564253028","20.2019705197","14.7284950267","7.2653926691","","4.451842077","1.3611675","0","0.41683587","0.25575","0.062377425","0.040275395","0.0155265","0.007764075","0.00545325","","0.0005544","","0.0000602276","0.0000049359","","0.0000034886","0.0000000771","","","144.6717872084"
"2026-02-01","309.4245","88.1","77.6510088674","64.928057232","13.25016","14.2956002936","","7.6755364574","1.17579","0.881595","0.08562939","0.2145","0.061204275","0.0375670301","0.01494075","0.005756025","0.00482031","","0.0004760281","0.0000495","0.0000675475","0.0000044511","0.00000825","0.0000031703","","","","577.8072745775"
